@*******hbandit, 49410, $5000, Fashion & Style, 01/09/2019
@*****gang, 23600, $175, Cars & Bikes, 01/09/2019
@*****swild, 15598, $600, Cars & Bikes, 01/09/2019
@********tdiario, 8110, $100, Fashion & Style, 01/09/2019
@*****s_.me, 27102, $270, Fashion & Style, 01/09/2019
@***********our_fanclub, 20750, $175, Movies TV & Fanpages, 01/09/2019
@*******.worlds, 13683, $200, Travel & Nature, 10/09/2019
@**********tinations, 6432, $105, Travel & Nature, 10/09/2019
@*********_addicted, 8635, $145, Travel & Nature, 10/09/2019
@************estinations, 8400, $140, Travel & Nature, 10/09/2019
@**********stinations, 8801, $135, Travel & Nature, 10/09/2019
@***********stinations, 6224, $115, Travel & Nature, 07/09/2019
@*********supercars, 7395, $120, Cars & Bikes, 10/09/2019
@*******global, 5354, $250, Fitness & Sports, 01/09/2019
@****blr, 67199, $500, Blog & Lifestyle, 01/09/2019
@********akhungu, 28269, $240, Blog & Lifestyle, 01/09/2019
@*******ailedit, 6741, $100, Humor & Memes, 01/09/2019
@******n.mp4, 64265, $800, Humor & Memes, 01/09/2019
@********rketing, 10873, $175, Cars & Bikes, 30/08/2019
@*******growth, 9829, $150, Cars & Bikes, 30/08/2019
@**************emotorcycling, 11311, $200, Cars & Bikes, 30/08/2019
@*******ssmgmt, 13679, $200, Cars & Bikes, 30/08/2019
@**********atologists, 9919, $175, Health & Beauty, 30/08/2019
@*******thgram, 6819, $125, City & Country, 30/08/2019
@********sulting, 7541, $150, Health & Beauty, 30/08/2019
@***********estaurants, 8292, $150, City & Country, 30/08/2019
@*****yflu, 14274, $150, Movies TV & Fanpages, 30/08/2019
@*******fficial, 128409, $500, Cars & Bikes, 30/08/2019
@*******ic.club, 6515, $100, Cars & Bikes, 02/09/2019
@********o_club_, 15743, $175, Cars & Bikes, 02/09/2019
@*********_society, 13561, $150, Cars & Bikes, 02/09/2019
@*********official, 15972, $150, Fashion & Style, 30/08/2019
@*******ans_com, 20544, $320, Pets & Animals, 06/09/2019
@******njosh, 17012, $250, Luxury & Motivation, 29/08/2019
@*******nntine, 6887, $125, Fashion & Style, 29/08/2019
@*********esociety_, 33446, $200, Cars & Bikes, 02/09/2019
@*********follows1, 28361, $300, Fitness & Sports, 28/08/2019
@***********_station100, 11642, $165, Blog & Lifestyle, 28/08/2019
@*********llection, 21074, $275, Fashion & Style, 28/08/2019
@******curate, 40960, $1225, Travel & Nature, 04/09/2019
@******ration, 60755, $725, Fashion & Style, 28/08/2019
@*********romotion, 5059, $100, Fitness & Sports, 28/08/2019
@******ermgmt, 5070, $100, Blog & Lifestyle, 28/08/2019
@*********eexposure, 5213, $100, Architecture & Interior, 28/08/2019
@********ntsales, 5081, $100, Food & Nutrition, 28/08/2019
@******rowth, 5042, $100, Food & Nutrition, 28/08/2019
@***********rmarketing, 5014, $100, Tech & Computers, 28/08/2019
@******dining, 5054, $100, Food & Nutrition, 28/08/2019
